sim_time,computation_time,alpha,theta,airspeed
0.005,0.001228,0.00029104016129543513,0.016675372911035168,152.39724370649105
0.01,0.000121,0.0005816908672835686,0.033328431676652975,152.39449960603048
0.015,0.000095,0.0008719526125565785,0.04995920463489782,152.39176763674584
0.02,0.000096,0.0011618258912936626,0.06656772010015204,152.38904773697232
0.025,0.000108,0.0014513111972605738,0.08315400636310936,152.3863398452523
0.030000000000000002,0.00011,0.0017404090238091613,0.09971809169074855,152.38364390033453
0.035,0.000095,0.0020291198638769125,0.11626000432630719,152.38095984117368
0.04,0.000094,0.002317444209986505,0.13277977248925604,152.37828760692958
0.045,0.000107,0.002605382554245352,0.14927742437527294,152.37562713696673
0.049999999999999996,0.000094,0.002892935388345165,0.16575298815621778,152.37297837085364
0.05499999999999999,0.000094,0.003180103203561508,0.1822064919801069,152.3703412483622
0.05999999999999999,0.000105,0.0034668864907533626,0.19863796397108838,152.36771570946712
0.06499999999999999,0.000095,0.003753285740362695,0.2150474322294169,152.3651016943453
0.06999999999999999,0.000094,0.004039301442414026,0.2314349248314294,152.36249914337526
0.075,0.000098,0.004324934086514004,0.2478004698295205,152.35990799713653
0.08,0.000105,0.00461018416185099,0.26414409525211857,152.357328196409
0.085,0.000094,0.00489505215719463,0.2804658291036615,152.3547596821723
0.09000000000000001,0.000094,0.005179538560895446,0.2967656993645732,152.35220239560542
0.09500000000000001,0.000098,0.005463643860884426,0.3130437339912399,152.34965627808586
0.10000000000000002,0.000097,0.005747368544672614,0.32929996091598696,152.34712127118917
0.10500000000000002,0.000094,0.006030713099350709,0.34553440804705554,152.34459731668835
0.11000000000000003,0.000094,0.006313678011588666,0.36174710326858023,152.34208435655322
0.11500000000000003,0.000119,0.006596263767635295,0.3779380744405656,152.33958233294985
0.12000000000000004,0.000095,0.0068784708533178775,0.3941073493988643,152.33709118824007
0.12500000000000003,0.000094,0.007160299754041768,0.4102549559551547,152.3346108649807
0.13000000000000003,0.000094,0.007441750954790014,0.4263809218969185,152.33214130592316
0.13500000000000004,0.000106,0.007722824940122978,0.44248527498741935,152.32968245401275
0.14000000000000004,0.000095,0.008003522194177954,0.4585680429656809,152.3272342523882
0.14500000000000005,0.000094,0.008283843200668797,0.4746292535464655,152.32479664438094
0.15000000000000005,0.000104,0.008563788442885542,0.4906689344202526,152.32236957351464
0.15500000000000005,0.000095,0.008843358403694055,0.5066871132532182,152.31995298350466
0.16000000000000006,0.000098,0.009122553565535652,0.5226838176872137,152.3175468182574
0.16500000000000006,0.000094,0.009401374410426752,0.5386590753397456,152.31515102186975
0.17000000000000007,0.000105,0.009679821419958516,0.5546129138039546,152.3127655386285
0.17500000000000007,0.000094,0.009957895075296482,0.5705453606485955,152.3103903130099
0.18000000000000008,0.000094,0.010235595857180238,0.5864564434180178,152.3080252896789
0.18500000000000008,0.000094,0.010512924245923058,0.6023461896321448,152.30567041348885
0.19000000000000009,0.000105,0.010789880721411566,0.6182146267864547,152.3033256294806
0.1950000000000001,0.000094,0.011066465763105396,0.6340617823519611,152.30099088288227
0.2000000000000001,0.000097,0.011342679850036856,0.6498876837751933,152.2986661191085
0.2050000000000001,0.000105,0.011618523460810598,0.6656923584781782,152.2963512837599
0.2100000000000001,0.000094,0.011893997073603285,0.6814758338584201,152.29404632262262
0.2150000000000001,0.000094,0.012169101166163269,0.6972381372888836,152.2917511816677
0.2200000000000001,0.000094,0.012443836215810269,0.7129792961179738,152.28946580705048
0.22500000000000012,0.000105,0.012718202699435044,0.7286993376695187,152.28719014511023
0.23000000000000012,0.000094,0.01299220109349909,0.744398289242751,152.28492414236933
0.23500000000000013,0.000094,0.013265831874034321,0.7600761781122901,152.28266774553302
0.24000000000000013,0.000094,0.013539095516642766,0.7757330315281253,152.28042090148864
0.24500000000000013,0.000101,0.013811992496496249,0.7913688767155965,152.2781835573052
0.2500000000000001,0.000094,0.014084523288336107,0.8069837408753787,152.2759556602328
0.2550000000000001,0.000094,0.014356688366472876,0.8225776511834639,152.27373715770207
0.2600000000000001,0.000105,0.014628488204786004,0.8381506347911444,152.2715279973237
0.2650000000000001,0.000094,0.014899923276723554,0.8537027188249958,152.26932812688779
0.27000000000000013,0.000094,0.01517099405530192,0.8692339303868615,152.26713749436348
0.27500000000000013,0.000094,0.015441701013105536,0.8847442965538347,152.26495604789827
0.28000000000000014,0.000105,0.015712044622286602,0.9002338443782439,152.26278373581755
0.28500000000000014,0.000094,0.015982025354564788,0.9157026008876354,152.2606205066241
0.29000000000000015,0.000123,0.016251643681226977,0.9311505930847584,152.25846630899747
0.29500000000000015,0.000117,0.016520900073126985,0.9465778479475494,152.25632109179355
0.30000000000000016,0.000095,0.016789795000685292,0.9619843924291164,152.25418480404403
0.30500000000000016,0.000094,0.017058328933888766,0.9773702534577233,152.2520573949558
0.31000000000000016,0.000094,0.01732650234229042,0.9927354579367763,152.24993881391052
0.31500000000000017,0.000106,0.017594315695009136,1.0080800327448072,152.24782901046402
0.3200000000000002,0.000094,0.017861769460729413,1.0234040047354598,152.2457279343459
0.3250000000000002,0.000094,0.018128864107701113,1.0387074007374748,152.24363553545888
0.3300000000000002,0.000107,0.01839560010373921,1.053990247554676,152.24155176387833
0.3350000000000002,0.000094,0.018661977916223548,1.0692525719659558,152.23947656985183
0.3400000000000002,0.000094,0.018927998012098584,1.084494400725261,152.2374099037985
0.3450000000000002,0.000094,0.019193660857873166,1.0997157605615795,152.23535171630868
0.3500000000000002,0.000105,0.019458966919620277,1.1149166781789261,152.23330195814333
0.3550000000000002,0.000094,0.01972391666297681,1.1300971802563298,152.23126058023337
0.3600000000000002,0.000093,0.01998851055314333,1.1452572934478196,152.22922753367945
0.3650000000000002,0.000094,0.020252749054883848,1.1603970443824114,152.22720276975133
0.3700000000000002,0.000105,0.020516632632525594,1.1755164596640961,152.2251862398873
0.3750000000000002,0.000095,0.02078016174995881,1.190615565871827,152.2231778956937
0.3800000000000002,0.000094,0.02104333687063649,1.205694389559504,152.22117768894464
0.38500000000000023,0.000105,0.021306158457574206,1.2207529572559659,152.21918557158105
0.39000000000000024,0.000094,0.021568626973349877,1.2357912954649746,152.2172014957107
0.39500000000000024,0.000094,0.021830742880103553,1.250809430665205,152.2152254136073
0.40000000000000024,0.000094,0.022092506639537216,1.2658073893102317,152.2132572777102
0.40500000000000025,0.000105,0.022353918712914568,1.280785197828518,152.2112970406239
0.41000000000000025,0.000094,0.022614979561060827,1.2957428826234043,152.20934465511743
0.41500000000000026,0.000096,0.022875689644362547,1.3106804700730972,152.2074000741241
0.42000000000000026,0.000094,0.023136049422767403,1.3255979865306566,152.20546325074065
0.42500000000000027,0.000105,0.023396059355783996,1.3404954583239868,152.20353413822713
0.43000000000000027,0.000094,0.023655719902481675,1.3553729117558233,152.20161269000613
0.4350000000000003,0.000094,0.023915031521490347,1.3702303731037246,152.19969885966256
0.4400000000000003,0.000104,0.024173994671000284,1.3850678686200593,152.19779260094288
0.4450000000000003,0.000094,0.02443260980876195,1.3998854245319972,152.19589386775485
0.4500000000000003,0.000094,0.024690877392085822,1.4146830670414983,152.1940026141669
0.4550000000000003,0.000093,0.024948797877842207,1.4294608223253034,152.19211879440778
0.4600000000000003,0.000107,0.02520637172246108,1.444218716534923,152.190242362866
0.4650000000000003,0.000094,0.025463599381931896,1.4589567757966293,152.1883732740893
0.4700000000000003,0.000094,0.02572048131180345,1.4736750262114449,152.18651148278428
0.4750000000000003,0.000093,0.025977017967183682,1.4883734938551343,152.1846569438159
0.4800000000000003,0.000105,0.02623320980273954,1.5030522047781945,152.182809612207
0.4850000000000003,0.000102,0.026489057272696792,1.5177111850058451,152.18096944313783
0.4900000000000003,0.000094,0.026744560830839918,1.5323504605380218,152.17913639194555
0.49500000000000033,0.000106,0.026999720930511898,1.5469700573493637,152.17731041412375
0.5000000000000003,0.000098,0.027254538024614108,1.5615700013892082,152.1754914653221
0.5050000000000003,0.000127,0.027509012565606145,1.5761503185815808,152.17367950134576
