0.0050, 0.000104, 6000.0000, 152.3767, -0.0494, 0.0000
0.0100, 6.48e-05, 6000.0013, 152.3452, -0.0814, 0.0160
0.0150, 5.68e-05, 6000.0029, 152.3165, -0.0978, 0.0477
0.0200, 6.67e-05, 6000.0051, 152.2878, -0.0995, 0.0942
0.0250, 5.33e-05, 6000.0080, 152.2590, -0.0873, 0.1551
0.0300, 5.29e-05, 6000.0116, 152.2302, -0.0623, 0.2295
0.0350, 5.32e-05, 6000.0158, 152.2013, -0.0256, 0.3168
0.0400, 5.51e-05, 6000.0207, 152.1723, 0.0220, 0.4163
0.0450, 5.25e-05, 6000.0263, 152.1430, 0.0793, 0.5271
0.0500, 5.11e-05, 6000.0326, 152.1136, 0.1454, 0.6486
0.0550, 6.51e-05, 6000.0396, 152.0838, 0.2194, 0.7799
0.0600, 5.31e-05, 6000.0475, 152.0537, 0.3003, 0.9203
0.0650, 5.21e-05, 6000.0561, 152.0234, 0.3872, 1.0690
0.0700, 5.09e-05, 6000.0656, 151.9927, 0.4792, 1.2253
0.0750, 5.28e-05, 6000.0759, 151.9616, 0.5755, 1.3885
0.0800, 5.05e-05, 6000.0871, 151.9301, 0.6753, 1.5576
0.0850, 5.07e-05, 6000.0993, 151.8983, 0.7778, 1.7322
0.0900, 7.09e-05, 6000.1124, 151.8661, 0.8822, 1.9114
0.0950, 5.29e-05, 6000.1266, 151.8334, 0.9879, 2.0946
0.1000, 5.08e-05, 6000.1418, 151.8004, 1.0942, 2.2811
0.1050, 5.06e-05, 6000.1580, 151.7668, 1.2005, 2.4703
0.1100, 5.24e-05, 6000.1754, 151.7326, 1.3061, 2.6616
0.1150, 5.11e-05, 6000.1939, 151.6979, 1.4107, 2.8545
0.1200, 5.05e-05, 6000.2137, 151.6627, 1.5136, 3.0483
0.1250, 6.29e-05, 6000.2346, 151.6270, 1.6144, 3.2426
0.1300, 5.36e-05, 6000.2567, 151.5907, 1.7128, 3.4368
0.1350, 5.06e-05, 6000.2802, 151.5539, 1.8083, 3.6306
0.1400, 5.06e-05, 6000.3050, 151.5167, 1.9007, 3.8236
0.1450, 5.28e-05, 6000.3310, 151.4790, 1.9896, 4.0152
0.1500, 5.04e-05, 6000.3585, 151.4408, 2.0747, 4.2053
0.1550, 5.04e-05, 6000.3874, 151.4021, 2.1559, 4.3934
0.1600, 6.21e-05, 6000.4176, 151.3628, 2.2330, 4.5793
0.1650, 5.37e-05, 6000.4493, 151.3231, 2.3059, 4.7627
0.1700, 5.53e-05, 6000.4825, 151.2829, 2.3744, 4.9434
0.1750, 5.14e-05, 6000.5172, 151.2422, 2.4384, 5.1212
0.1800, 5.03e-05, 6000.5533, 151.2011, 2.4980, 5.2959
0.1850, 5.3e-05, 6000.5910, 151.1597, 2.5530, 5.4674
0.1900, 5.04e-05, 6000.6302, 151.1179, 2.6036, 5.6356
0.1950, 6.27e-05, 6000.6709, 151.0757, 2.6496, 5.8004
0.2000, 5.1e-05, 6000.7132, 151.0332, 2.6912, 5.9617
0.2050, 5.25e-05, 6000.7571, 150.9904, 2.7285, 6.1196
0.2100, 5.04e-05, 6000.8025, 150.9474, 2.7615, 6.2738
0.2150, 5.05e-05, 6000.8496, 150.9041, 2.7903, 6.4246
0.2200, 5.88e-05, 6000.8982, 150.8606, 2.8151, 6.5719
0.2250, 5.04e-05, 6000.9484, 150.8168, 2.8360, 6.7157
0.2300, 6.25e-05, 6001.0003, 150.7729, 2.8532, 6.8561
0.2350, 5.08e-05, 6001.0537, 150.7289, 2.8668, 6.9931
0.2400, 5.26e-05, 6001.1087, 150.6847, 2.8769, 7.1269
0.2450, 5.01e-05, 6001.1654, 150.6403, 2.8838, 7.2575
0.2500, 5.53e-05, 6001.2236, 150.5959, 2.8877, 7.3851
0.2550, 6.28e-05, 6001.2835, 150.5514, 2.8886, 7.5097
0.2600, 6.55e-05, 6001.3449, 150.5068, 2.8869, 7.6316
0.2650, 5.3e-05, 6001.4080, 150.4622, 2.8827, 7.7507
0.2700, 5.07e-05, 6001.4726, 150.4175, 2.8762, 7.8673
0.2750, 5.31e-05, 6001.5389, 150.3728, 2.8676, 7.9815
0.2800, 5.07e-05, 6001.6067, 150.3281, 2.8571, 8.0935
0.2850, 5.04e-05, 6001.6761, 150.2834, 2.8448, 8.2033
0.2900, 5.05e-05, 6001.7470, 150.2386, 2.8310, 8.3112
0.2950, 6.34e-05, 6001.8196, 150.1940, 2.8159, 8.4172
0.3000, 5.33e-05, 6001.8937, 150.1493, 2.7996, 8.5216
0.3050, 5.11e-05, 6001.9693, 150.1046, 2.7822, 8.6245
0.3100, 5.06e-05, 6002.0465, 150.0600, 2.7640, 8.7260
0.3150, 5.35e-05, 6002.1252, 150.0154, 2.7451, 8.8263
0.3200, 5.06e-05, 6002.2054, 149.9709, 2.7257, 8.9255
0.3250, 5.08e-05, 6002.2872, 149.9264, 2.7059, 9.0238
0.3300, 6.07e-05, 6002.3704, 149.8820, 2.6858, 9.1212
0.3350, 8.25e-05, 6002.4552, 149.8376, 2.6656, 9.2179
0.3400, 0.0001189, 6002.5414, 149.7932, 2.6454, 9.3141
0.3450, 9.4e-05, 6002.6291, 149.7489, 2.6252, 9.4098
0.3500, 0.000124, 6002.7183, 149.7047, 2.6053, 9.5052
0.3550, 9.73e-05, 6002.8090, 149.6605, 2.5857, 9.6003
0.3600, 5.83e-05, 6002.9011, 149.6164, 2.5665, 9.6953
0.3650, 5.2e-05, 6002.9947, 149.5722, 2.5477, 9.7903
