sim_time,alpha,beta,airspeed,q,p,r
0,0,0,152.4,0,0,0
0.005,-0.001490829118718039,0,152.37321652431478,0,0,0
0.01,-0.0029243838765670533,0,152.346757056168,0.0012484975387075984,0,0
0.015,-0.004296807852953754,0,152.32058487071802,0.0036254659201590844,0,0
0.02,-0.005604973315618907,0,152.29466523702587,0.007014596474341203,0,0
0.025,-0.00702404998515516,0,152.26909867644548,0.008312547558350977,0,0
0.030000000000000002,-0.00832818173581096,0,152.24372148875483,0.01178439543229271,0,0
0.035,-0.009666612305283406,0,152.21864101994547,0.014728506324946539,0,0
0.04,-0.011066093474305965,0,152.19391129881558,0.016747674667331996,0,0
0.045,-0.012282078960103523,0,152.16921099112264,0.021615516845828464,0,0
0.049999999999999996,-0.01343099506690691,0,152.14463911604855,0.027467342556108526,0,0
0.05499999999999999,-0.014514232526720738,0,152.1201722862154,0.03419543060359847,0,0
0.05999999999999999,-0.01553574624635996,0,152.09578904840512,0.041807242139675516,0,0
0.06499999999999999,-0.016479663748016446,0,152.07144716035828,0.050389950726156964,0,0
0.06999999999999999,-0.017348567340419112,0,152.0471352613354,0.05964279808086918,0,0
0.075,-0.018140491854262544,0,152.02283535651085,0.06946140102308325,0,0
0.08,-0.018853866391115685,0,151.99853283286708,0.07973967558127976,0,0
0.085,-0.01948653403854955,0,151.97421387063022,0.09037758399085438,0,0
0.09000000000000001,-0.02003836961236029,0,151.94986935018568,0.10125857440255513,0,0
0.09500000000000001,-0.02050958923920101,0,151.92549213482116,0.11228490400868062,0,0
0.10000000000000002,-0.020901020036932505,0,151.9010774117514,0.12336282188311998,0,0
0.10500000000000002,-0.021214017410205663,0,151.87662223238,0.134403744979846,0,0
0.11000000000000003,-0.021450568208012034,0,151.85212547492497,0.14532327117695384,0,0
0.11500000000000003,-0.02161312257848944,0,151.8275872893027,0.1560436483288192,0,0
0.12000000000000004,-0.021704567773651453,0,151.80300879309112,0.166492976476958,0,0
0.12500000000000003,-0.021728177456821582,0,151.7783917277057,0.17660550348969634,0,0
0.13000000000000003,-0.021687571835770168,0,151.75373816824637,0.1863217240873513,0,0
0.13500000000000004,-0.02158666180499887,0,151.72905023107043,0.1955886247341969,0,0
0.14000000000000004,-0.021429603655400625,0,151.70432983804903,0.20435966034105335,0,0
0.14500000000000005,-0.02122075284419084,0,151.6795785183999,0.21259475707049583,0,0
0.15000000000000005,-0.020964619469953063,0,151.65479725608182,0.22026025391523124,0,0
0.15500000000000005,-0.020665824112564436,0,151.62998637883342,0.22732880788992432,0,0
0.16000000000000006,-0.020329055965914278,0,151.60514549131298,0.23377924162533165,0,0
0.16500000000000006,-0.019959032682477597,0,151.580273448331,0.23959635673333463,0,0
0.17000000000000007,-0.0195604623053982,0,151.55536836516086,0.2447707104928331,0,0
0.17500000000000007,-0.019138007376993692,0,151.5304276603861,0.24929836112793105,0,0
0.18000000000000008,-0.01869625148397527,0,151.50544812665632,0.253180584093978,0,0
0.18500000000000008,-0.018239668309209443,0,151.48042602398965,0.2564235645205351,0,0
0.19000000000000009,-0.01777259329993611,0,151.4553571902187,0.25903806917189237,0,0
0.1950000000000001,-0.01729919801845855,0,151.43023716313843,0.2610391017499579,0,0
0.2000000000000001,-0.01682346722781505,0,151.40506130912448,0.2624455450960668,0,0
0.2050000000000001,-0.016349178730185855,0,151.37982495328842,0.2632797939056762,0,0
0.2100000000000001,-0.015879885957551233,0,151.35452350668368,0.263567381321455,0,0
0.2150000000000001,-0.0154189032914851,0,151.3291525866071,0.2633366026570416,0,0
0.2200000000000001,-0.01496929406970367,0,151.30370812663887,0.2626181393262427,0,0
0.22500000000000012,-0.014533861217866905,0,151.27818647370242,0.2614446858825413,0,0
0.23000000000000012,-0.014115140428580144,0,151.25258447008267,0.25985058287414137,0,0
0.23500000000000013,-0.013715395794199791,0,151.22689951899142,0.2578714580209123,0,0
0.24000000000000013,-0.013336617786449845,0,151.20112963289873,0.25554387800997813,0,0
0.24500000000000013,-0.012980523463802527,0,151.1752734644341,0.25290501299296364,0,0
0.2500000000000001,-0.012648558777209856,0,151.14933032019832,0.24999231564947721,0,0
0.2550000000000001,-0.012341902835984733,0,151.1233001582959,0.24684321646190746,0,0
0.2600000000000001,-0.012061473988426557,0,151.0971835707975,0.24349483662684349,0,0
0.2650000000000001,-0.011807937566116975,0,151.07098175266643,0.23998371981031966,0,0
0.27000000000000013,-0.011581715136638887,0,151.0446964589292,0.236345583739023,0,0
0.27500000000000013,-0.011382995106735778,0,151.01832995204134,0.23261509240913072,0,0
0.28000000000000014,-0.0112117445165697,0,150.9918849414955,0.2288256494898498,0,0
0.28500000000000014,-0.011067721865685526,0,150.9653645177491,0.2250092133012643,0,0
0.29000000000000015,-0.01095049081247361,0,150.93877208251396,0.2211961335568802,0,0
0.29500000000000015,-0.010859434591262969,0,150.91211127736207,0.21741500988131196,0,0
0.30000000000000016,-0.0107937709945898,0,150.885385912469,0.21369257194377567,0,0
0.30500000000000016,-0.010752567772584563,0,150.85859989714177,0.21005358088921458,0,0
0.31000000000000016,-0.010734758306715397,0,150.8317571735799,0.20652075160163424,0,0
0.31500000000000017,-0.010739157421224468,0,150.80486165509637,0.20311469519909092,0,0
0.3200000000000002,-0.010764477202403876,0,150.77791716979533,0.19985388103715301,0,0
0.3250000000000002,-0.010809342703285386,0,150.75092741046564,0.19675461738781394,0,0
0.3300000000000002,-0.01087230741926985,0,150.72389589122122,0.19383104986392374,0,0
0.3350000000000002,-0.01095186842860539,0,150.69682591119485,0.19109517657525654,0,0
0.3400000000000002,-0.011046481100347375,0,150.66972052538625,0.18855687893126158,0,0
0.3450000000000002,-0.011154573281409196,0,150.64258252257872,0.18622396694716856,0,0
0.3500000000000002,-0.01127455888345581,0,150.61541441007284,0.18410223786415225,0,0
0.3550000000000002,-0.011404850799619578,0,150.58821840484524,0.18219554686033287,0,0
0.3600000000000002,-0.011543873090252534,0,150.5609964306283,0.18050588860704836,0,0
0.3650000000000002,-0.011690072386097622,0,150.53375012031557,0.1790334884135612,0,0
0.3700000000000002,-0.011841928466295068,0,150.50648082303772,0.1777769017025766,0,0
0.3750000000000002,-0.011997963977475936,0,150.47918961521543,0.17673312056802015,0,0
0.3800000000000002,-0.012156753268775269,0,150.45187731488062,0.17589768618478113,0,0
0.38500000000000023,-0.012316930325869913,0,150.42454449856416,0.17526480586686907,0,0
0.39000000000000024,-0.012477195795064696,0,150.397191520071,0.17482747360493195,0,0
0.39500000000000024,-0.012636323095974353,0,150.3698185305041,0.17457759295559988,0,0
0.40000000000000024,-0.012793163628442227,0,150.3424254989504,0.1745061012029025,0,0
0.40500000000000025,-0.012946651085971246,0,150.31501223330224,0.1746030937653076,0,0
